id,num_orders
1028232,1187.0
1127204,459.0
1212707,94.0
1082698,81.0
1400926,54.0
1284113,323.0
1197966,258.0
1132739,231.0
1057981,54.0
1095932,284.0
1454421,67.0
1149765,323.0
1166964,243.0
1010949,298.0
1409575,109.0
1181616,15.0
1456020,364.0
1264395,486.0
1472931,135.0
1412015,68.0
1461229,177.0
1014564,393.0
1485914,68.0
1345389,149.0
1006833,189.0
1174921,26.0
1175393,15.0
1152412,13.0
1497398,68.0
1363486,42.0
1366766,13.0
1192413,14.0
1319547,431.0
1337684,459.0
1479766,161.0
1460444,1984.0
1139730,177.0
1115056,351.0
1335827,230.0
1385333,663.0
1096323,782.0
1230693,865.0
1027016,121.0
1181520,55.0
1306234,204.0
1271440,864.0
1269834,568.0
1176823,1579.0
1193098,163.0
1034878,27.0
1010243,230.0
1451807,67.0
1016845,215.0
1198021,26.0
1413802,80.0
1231223,149.0
1274226,594.0
1425142,285.0
1211593,257.0
1419190,53.0
1180223,26.0
1194932,40.0
1323477,148.0
1371595,107.0
1171521,94.0
1052384,256.0
1060921,150.0
1261811,123.0
1246502,189.0
1497466,554.0
1232717,28.0
1136112,27.0
1196334,431.0
1349533,269.0
1463406,337.0
1447686,338.0
1336105,134.0
1012855,177.0
1180646,337.0
1062490,69.0
1098228,1621.0
1101375,203.0
1400016,447.0
1439889,122.0
1408468,53.0
1044490,54.0
1290002,1147.0
1190633,797.0
1040430,1202.0
1049366,94.0
1224120,109.0
1293810,162.0
1197335,566.0
1323989,459.0
1129467,1134.0
1229328,28.0
1164395,27.0
1217722,27.0
1171266,67.0
1024905,67.0
1343027,107.0
1141892,109.0
1302404,15.0
1170447,472.0
1140772,863.0
1103484,323.0
1387134,42.0
1117711,15.0
1472121,40.0
1289523,283.0
1091114,431.0
1043572,620.0
1103283,379.0
1265051,68.0
1168741,96.0
1052776,148.0
1206564,216.0
1302153,270.0
1083754,81.0
1097952,28.0
1251605,28.0
1333032,419.0
1086936,216.0
1088412,204.0
1236400,42.0
1244516,28.0
1380381,80.0
1495062,472.0
1439647,149.0
1019214,323.0
1316160,905.0
1022008,285.0
1138248,148.0
1052922,82.0
1181474,13.0
1046475,14.0
1216688,190.0
1067565,310.0
1008328,485.0
1430287,67.0
1406716,244.0
1105380,108.0
1248694,190.0
1252163,231.0
1443474,528.0
1033716,148.0
1300295,67.0
1311882,95.0
1257968,42.0
1226362,149.0
1030655,148.0
1210527,13.0
1278927,42.0
1232239,94.0
1133067,312.0
1382522,501.0
1219136,177.0
1498130,42.0
1251629,54.0
1032092,15.0
