Id,SalePrice
1461,141911.40999999992
1462,136889.43749999988
1463,166042.94333333333
1464,183541.808
1465,142735.9239999998
1466,181096.835
1467,151349.0483333333
1468,181149.675
1469,143351.5659047619
1470,134018.68833333318
1471,149420.03923809505
1472,121620.01033333328
1473,144348.44859999995
1474,156854.99
1475,118176.97266666664
1476,205849.059
1477,173734.106
1478,183584.324
1479,191755.68499999997
1480,210800.09600000002
1481,191082.739
1482,160083.72866666666
1483,148545.01499999996
1484,154109.15166666664
1485,174074.104
1486,177912.733
1487,195710.987
1488,158499.34433333337
1489,148040.09433333325
1490,167335.07200000001
1491,184450.55325
1492,117467.32599999988
1493,182113.32
1494,206036.95500000002
1495,189128.743
1496,162362.16423809525
1497,161430.54366666666
1498,155491.50749999995
1499,154829.3728333333
1500,155837.87349999996
1501,141068.8524999999
1502,151498.23449999996
1503,301877.63520000014
1504,187988.84900000002
1505,166304.25207142858
1506,184287.76325
1507,205278.05000000002
1508,185072.108
1509,174404.85376666667
1510,159149.45400000003
1511,147391.0963333332
1512,154323.32299999995
1513,175762.06025
1514,176666.89875
1515,171485.238
1516,149541.31466666659
1517,137937.1829999999
1518,163471.74425000005
1519,175896.435
1520,130277.21883333322
1521,131820.71883333317
1522,151351.16433333332
1523,109808.99666666682
1524,111515.62233333327
1525,114732.12133333336
1526,107982.93533333341
1527,138462.7999999999
1528,122327.234
1529,140185.77699999986
1530,184291.818
1531,174493.728
1532,115951.9363333333
1533,139856.43233333318
1534,135079.63399999993
1535,179347.302
1536,131598.55159999992
1537,138040.54313333327
1538,160373.30899999998
1539,163964.736
1540,164921.76475000003
1541,151825.179
1542,155518.42680000002
1543,179556.181
1544,104611.18866666665
1545,109133.6533333333
1546,153003.15593333333
1547,167211.2098
1548,134362.33059999987
1549,142752.6786666665
1550,169767.563
1551,121709.07899999991
1552,195997.58679999996
1553,153151.61383333325
1554,135704.3029999999
1555,181453.431
1556,128982.25733333327
1557,124186.18033333325
1558,106860.80900000001
1559,152875.17899999995
1560,169565.625
1561,165127.31155000004
1562,127122.753
1563,115193.126
1564,141926.66333333327
1565,180467.671
1566,154579.98400000003
1567,114568.43777777762
1568,204032.75100000002
1569,187389.616
1570,154930.2333333333
1571,168225.32899999997
1572,125529.11200000001
1573,139441.32066666655
1574,136073.24474999978
1575,159171.89800000004
1576,200212.94099999996
1577,156438.48466666666
1578,149900.46699999995
1579,137028.5906666666
1580,192358.84499999997
1581,136123.14866666656
1582,131707.6473333332
1583,194518.74299999996
1584,202733.66800000003
1585,122361.75000000009
1586,114796.26633333345
1587,127544.12559999988
1588,141739.67083333322
1589,126434.80699999997
1590,133197.69666666654
1591,104584.6286666668
1592,129957.14600000001
1593,119680.36933333319
1594,178420.053
1595,164640.085
1596,193315.77399999998
1597,178469.77925
1598,156885.11499999996
1599,147028.34966666656
1600,147379.3976666665
1601,103055.6963333333
1602,146263.87833333318
1603,112869.08466666665
1604,149615.81699999986
1605,198882.25599999994
1606,160342.7174047619
1607,183283.50725
1608,160507.59833333333
1609,152488.11833333326
1610,169063.621
1611,168527.36
1612,167208.615
1613,174519.234
1614,132109.10599999994
1615,122039.02616666663
1616,116090.63233333334
1617,124141.01333333334
1618,124244.97199999998
1619,137443.43123809516
1620,191357.315
1621,153482.96393333335
1622,184313.35725
1623,175186.027
1624,188373.93099999998
1625,129586.33933333326
1626,178129.255
1627,181313.033
1628,206516.86400000003
1629,181278.049
1630,191466.169
1631,142910.76307142843
1632,155691.95599999998
1633,172319.318
1634,184570.156
1635,182055.424
1636,155798.5023333333
1637,174389.94466666668
1638,196329.51399999997
1639,176285.109
1640,201605.15299999993
1641,177458.658
1642,182080.948
1643,184076.625
1644,180365.983
1645,182824.582
1646,154648.9153333333
1647,137390.25199999986
1648,152797.9839333333
1649,144396.31099999996
1650,135591.4943333332
1651,140995.5742380951
1652,122244.90733333328
1653,124001.71733333325
1654,169581.87399999998
1655,134064.65633333309
1656,159671.50733333334
1657,170263.024
1658,155139.36166666666
1659,123725.92166666647
1660,154643.6583333333
1661,215743.69800000006
1662,201113.48599999995
1663,188471.095
1664,197008.01679999998
1665,184818.998
1666,190700.023
1667,216142.25000000012
1668,194116.55599999998
1669,165509.1006666667
1670,182109.45
1671,196483.03999999998
1672,202573.43859999996
1673,207324.231
1674,167070.86350000004
1675,161399.66573809524
1676,151684.20166666654
1677,160227.93973809524
1678,199211.60399999996
1679,196313.705
1680,166177.9615
1681,161404.72223809524
1682,196727.84299999996
1683,159058.57716666668
1684,184996.55299999999
1685,174906.793
1686,139721.36066666647
1687,156664.294
1688,178163.481
1689,178294.383
1690,193709.17099999997
1691,181511.627
1692,200590.13699999996
1693,169076.89316666668
1694,185363.779
1695,172401.068
1696,198577.90099999998
1697,173872.47
1698,212821.14600000007
1699,182676.636
1700,195441.23299999998
1701,200715.33299999996
1702,174747.3685
1703,181086.519
1704,187058.851
1705,178973.095
1706,206089.48100000003
1707,157743.09566666666
1708,173463.41416666668
1709,184665.533
1710,167186.46666666667
1711,198079.54099999994
1712,191300.93899999998
