id,num_orders
1028232,1009.1
1127204,146.5
1212707,173.6
1082698,66.8
1400926,48.6
1284113,278.5
1197966,313.8
1132739,236.0
1057981,136.1
1095932,111.6
1454421,82.8
1149765,268.8
1166964,468.7
1010949,305.1
1409575,111.3
1181616,20.6
1456020,292.8
1264395,434.7
1472931,206.8
1412015,101.5
1461229,265.0
1014564,282.8
1485914,82.6
1345389,117.0
1006833,133.7
1174921,26.8
1175393,31.8
1152412,20.4
1497398,27.4
1363486,31.4
1366766,43.5
1192413,13.9
1319547,336.2
1337684,356.4
1479766,100.4
1460444,1690.3
1139730,382.2
1115056,347.8
1335827,147.3
1385333,851.6
1096323,941.8
1230693,855.4
1027016,109.4
1181520,87.2
1306234,193.2
1271440,930.1
1269834,520.9
1176823,1183.7
1193098,112.5
1034878,25.7
1010243,226.0
1451807,130.4
1016845,176.5
1198021,70.1
1413802,87.2
1231223,110.5
1274226,643.9
1425142,334.9
1211593,209.0
1419190,50.8
1180223,49.4
1194932,85.2
1323477,195.7
1371595,256.8
1171521,115.9
1052384,236.8
1060921,88.4
1261811,162.5
1246502,213.3
1497466,389.2
1232717,38.0
1136112,31.1
1196334,345.2
1349533,260.1
1463406,320.4
1447686,224.4
1336105,148.0
1012855,514.4
1180646,383.4
1062490,167.7
1098228,1543.0
1101375,199.1
1400016,464.1
1439889,100.3
1408468,106.4
1044490,94.2
1290002,787.4
1190633,739.6
1040430,1053.5
1049366,100.3
1224120,147.4
1293810,187.6
1197335,743.2
1323989,590.5
1129467,1061.1
1229328,97.8
1164395,62.1
1217722,103.8
1171266,130.3
1024905,144.5
1343027,179.0
1141892,73.7
1302404,60.8
1170447,582.9
1140772,793.7
1103484,245.1
1387134,33.0
1117711,16.0
1472121,46.3
1289523,309.4
1091114,461.9
1043572,557.1
1103283,194.2
1265051,141.5
1168741,322.6
1052776,129.4
1206564,191.9
1302153,259.0
1083754,79.5
1097952,22.7
1251605,39.9
1333032,510.8
1086936,238.2
1088412,181.6
1236400,57.2
1244516,74.6
1380381,80.3
1495062,453.5
1439647,274.5
1019214,322.5
1316160,805.1
1022008,535.1
1138248,255.3
1052922,47.1
1181474,38.5
1046475,40.6
1216688,249.9
1067565,370.5
1008328,354.6
1430287,81.7
1406716,115.1
1105380,91.0
1248694,419.5
1252163,264.9
1443474,435.6
1033716,106.9
1300295,60.8
1311882,77.2
1257968,44.0
1226362,133.5
1030655,118.6
1210527,55.6
1278927,37.8
1232239,65.4
1133067,244.6
1382522,588.2
1219136,221.5
1498130,37.6
1251629,35.5
1032092,42.9
1249865,130.4
1207630,187.1
1144733,290.9
1436768,37.1
1148964,38.0
1237346,211.5
1206015,27.9
1105113,222.6
1430481,31.6
1001589,89.4
1224132,84.0
1074380,385.3
1097109,301.0
1211246,240.6
1390579,298.9
1473058,348.7
1186964,112.8
1222837,45.3
1342393,42.0
1170472,272.8
1170791,278.6
1046653,200.6
1195179,133.9
1332509,131.5
1438300,131.0
1435748,272.2
1052668,218.0
1227060,357.9
1342252,105.7
1143109,62.2
1394807,154.0
1448374,78.7
1028680,119.0
1079691,95.0
1402079,40.9
1424446,75.5
1133297,341.2
1076214,593.6
1173823,339.4
1488584,45.9
1072892,36.7
1277491,23.1
1290868,92.2
1048888,101.1
1138141,209.0
1473125,39.5
1196726,59.2
1179278,27.1
1282305,67.9
1359903,63.5
1355143,171.8
1095889,52.6
1250665,73.4
1426610,48.9
1390104,368.7
1051519,486.3
1337584,165.1
1332667,2650.2
1075942,1404.6
1109804,384.4
1316684,89.6
1248315,212.7
1113611,75.8
1110867,775.3
1247289,920.7
1022953,1845.1
1160081,118.8
1120430,142.1
1487280,205.7
1020081,1978.6
1329551,1002.5
