id,num_orders
1028232,192.2
1127204,178.7
1212707,185.3
1082698,16.4
1400926,73.4
1284113,236.0
1197966,316.9
1132739,172.0
1057981,51.2
1095932,74.6
1454421,123.8
1149765,197.5
1166964,257.0
1010949,297.9
1409575,73.7
1181616,96.0
1456020,343.8
1264395,260.4
1472931,130.3
1412015,108.0
1461229,182.8
1014564,192.0
1485914,34.9
1345389,90.4
1006833,66.0
1174921,17.8
1175393,17.5
1152412,29.7
1497398,13.3
1363486,40.0
1366766,21.1
1192413,26.4
1319547,207.7
1337684,46.3
1479766,154.7
1460444,1318.6
1139730,877.9
1115056,326.0
1335827,120.5
1385333,554.6
1096323,703.4
1230693,737.9
1027016,182.6
1181520,58.2
1306234,175.2
1271440,911.5
1269834,381.8
1176823,746.3
1193098,136.8
1034878,89.0
1010243,175.1
1451807,279.2
1016845,240.4
1198021,135.6
1413802,32.8
1231223,113.3
1274226,630.2
1425142,449.1
1211593,256.1
1419190,51.8
1180223,76.0
1194932,155.6
1323477,205.8
1371595,271.5
1171521,150.2
1052384,124.0
1060921,107.5
1261811,48.3
1246502,135.4
1497466,332.9
1232717,77.6
1136112,64.8
1196334,690.5
1349533,375.4
1463406,269.1
1447686,175.6
1336105,237.3
1012855,627.3
1180646,683.0
1062490,337.9
1098228,1231.3
1101375,1024.1
1400016,411.0
1439889,47.6
1408468,79.4
1044490,72.4
1290002,833.8
1190633,825.0
1040430,1074.4
1049366,145.9
1224120,115.4
1293810,175.5
1197335,792.0
1323989,591.6
1129467,1146.1
1229328,87.5
1164395,127.7
1217722,192.6
1171266,226.8
1024905,41.6
1343027,206.8
1141892,115.9
1302404,48.4
1170447,761.3
1140772,494.6
1103484,370.9
1387134,13.0
1117711,32.1
1472121,40.2
1289523,484.0
1091114,437.6
1043572,728.5
1103283,99.7
1265051,92.6
1168741,100.3
1052776,110.5
1206564,173.4
1302153,409.5
1083754,66.9
1097952,41.7
1251605,98.0
1333032,555.5
1086936,201.5
1088412,258.4
1236400,67.6
1244516,77.1
1380381,53.4
1495062,617.1
1439647,229.2
1019214,697.9
1316160,497.2
1022008,1021.2
1138248,252.6
1052922,33.0
1181474,62.1
1046475,68.0
1216688,236.7
1067565,515.0
1008328,384.4
1430287,209.8
1406716,176.3
1105380,137.8
1248694,510.9
1252163,390.1
1443474,415.1
1033716,33.2
1300295,24.8
1311882,46.9
1257968,122.1
1226362,303.5
1030655,334.6
1210527,48.7
1278927,33.6
1232239,27.0
1133067,324.1
1382522,356.2
1219136,328.6
1498130,31.0
1251629,51.8
1032092,18.8
1249865,73.3
1207630,97.0
1144733,130.3
1436768,27.9
1148964,38.6
1237346,375.1
1206015,81.6
1105113,307.6
1430481,30.9
1001589,117.6
1224132,58.2
1074380,506.3
1097109,259.0
1211246,374.2
1390579,380.1
1473058,282.3
1186964,142.7
1222837,65.4
1342393,73.3
1170472,229.7
1170791,332.6
1046653,283.6
1195179,193.6
1332509,193.2
1438300,207.8
1435748,768.2
1052668,273.8
1227060,532.7
1342252,117.4
1143109,63.1
1394807,117.6
1448374,63.1
1028680,118.8
1079691,83.8
1402079,30.1
1424446,88.5
1133297,419.1
1076214,468.0
1173823,256.8
1488584,23.0
1072892,15.4
1277491,27.7
1290868,135.5
1048888,186.9
1138141,289.6
1473125,80.7
1196726,62.9
1179278,66.7
1282305,120.1
1359903,73.0
1355143,168.5
1095889,62.9
1250665,86.7
1426610,58.1
1390104,434.9
1051519,361.0
1337584,169.5
1332667,2870.2
1075942,2039.8
1109804,550.7
1316684,53.5
1248315,194.6
1113611,96.0
1110867,790.9
1247289,802.3
1022953,2243.6
1160081,150.1
1120430,161.6
1487280,478.1
1020081,1365.4
1329551,1084.4
1137610,1707.4
1072530,290.8
1115708,360.1
1203532,169.9
1494216,327.0
1116374,334.8
1032497,312.7
1413930,221.7
1136118,94.0
1254872,250.7
1398257,1557.1
1364001,508.4
1369843,482.1
1379360,62.6
1442044,78.3
1285290,53.6
1129707,516.3
1086750,693.0
1147262,743.2
1025605,199.0
1414158,136.8
1082079,235.0
1467510,57.9
1374892,362.0
1171352,324.8
1213246,159.2
1279131,175.5
1256386,157.1
1234220,1075.4
1008206,819.1
1267686,423.4
1470186,92.8
1233312,232.6
1279379,153.6
1431703,1763.0
1339938,349.7
1010552,505.1
1237947,681.5
1175098,631.6
1066074,275.9
1045918,82.7
1226081,30.0
1148633,389.2
1441429,399.4
1291804,698.3
1305194,214.4
1327840,95.3
1320801,147.4
1467101,387.2
1473989,248.8
1466330,239.1
1390856,89.4
1120639,76.6
1279275,95.8
1166120,159.0
1128404,37.6
1252491,95.2
1328056,523.8
1452353,337.3
1353276,121.1
1297182,14.7
1469299,19.7
1129687,214.8
1362599,321.3
1245170,322.5
1098570,35.4
1452600,27.6
1194207,26.4
1023619,30.7
1254600,122.5
1157094,183.1
1165391,44.8
1131248,30.7
1383646,194.2
1288250,200.3
1476141,168.8
1401237,58.3
1383510,34.7
1433607,34.0
1098207,598.0
1453624,705.0
1089046,189.6
1306954,1777.2
1413179,882.5
1379869,1008.1
1037218,31.6
1247919,179.2
1097438,238.0
1441938,786.1
1060769,907.1
1409283,1485.2
1397517,255.1
1220386,129.9
1297481,207.3
1309280,736.1
1013813,764.1
1087803,1161.5
1256077,117.4
1328392,96.0
1197947,261.6
1134877,219.6
1149222,145.2
1321757,232.3
1364052,129.6
1346914,168.4
1343936,1012.5
1284997,495.9
1443980,286.6
1272226,43.5
1267791,46.2
1049345,35.0
1300007,571.2
1220471,407.6
1486124,727.1
1183373,77.9
1076787,252.2
1218918,57.4
1351627,105.2
1333350,201.5
1312936,442.0
1477543,119.5
1408514,18.8
1256773,37.2
1174904,279.8
1392815,511.9
1389126,327.5
1074816,66.2
1124612,73.6
1318251,141.4
1089252,420.8
1396463,278.5
1289632,293.9
1083889,381.0
1121896,294.6
1004866,276.0
1234436,27.0
1311318,57.3
1476647,106.2
1419834,309.5
1188670,364.9
1260238,272.1
1263791,145.0
1070835,197.4
1433069,208.4
1349084,457.7
1360259,223.3
1022475,312.1
1037167,63.4
1492031,68.0
1057541,50.3
1483675,208.6
1463966,130.9
1474096,92.4
1440771,42.8
1452763,86.1
1382621,269.3
1035365,422.4
1355984,248.0
1140520,16.1
1168148,124.2
1052343,98.0
1370827,201.7
1055728,55.4
1053449,37.2
1368579,18.8
1208370,78.1
1027455,30.6
1147326,85.4
1203029,38.7
1389643,20.8
1482071,23.6
1411487,306.5
1043533,468.5
1294351,215.1
1409427,350.0
1000264,273.0
1016463,97.1
1224218,13.9
1485114,73.7
1006410,126.6
1221242,90.4
1031339,588.1
1153545,190.9
1182144,28.1
1194788,107.8
1082828,125.4
1265773,560.3
1154515,125.5
1105986,261.8
1293017,26.6
1272587,18.6
1027143,77.1
1179146,107.7
1342337,153.9
1269746,24.4
1369030,284.9
1109605,257.0
1099603,281.1
1319113,13.6
1155697,24.6
1218892,145.7
1493357,118.6
1202597,64.1
1116108,37.4
1229780,62.4
1391127,19.9
1085957,75.5
1267409,53.6
1245159,42.2
1378973,51.4
1079844,237.7
1024089,208.8
1463712,167.0
1268331,477.5
1058344,445.9
1417277,173.1
1056035,95.6
1343254,92.2
1262833,111.3
1272751,166.9
1013213,686.1
1263405,439.1
1204818,100.9
1333742,81.9
1043262,61.2
1449237,1187.8
1080908,517.4
1073524,894.0
1196482,160.9
1068138,116.3
1320427,73.3
1184166,221.8
1228572,502.5
1075131,419.8
1128915,200.2
1182843,109.2
1094044,368.7
1209858,530.8
1222963,265.0
1037477,65.4
1001694,32.2
1054299,76.2
1371044,79.3
1254718,244.5
1086268,190.1
1003757,65.9
1448276,43.6
1489645,212.9
1491279,139.4
1408337,313.1
1360068,103.4
1316400,123.9
1110618,133.8
1146271,526.0
1474849,509.9
1352055,171.6
1245977,90.3
1165288,122.6
1081099,99.1
1441467,21.1
1336838,137.1
1106150,277.5
1190084,69.5
1232610,288.6
1321845,172.6
1159511,326.5
1441739,129.7
1096623,207.3
1474925,107.1
1118719,111.6
1297074,13.7
1054861,105.2
1208736,289.9
1161439,115.8
1282737,63.1
1194305,96.2
1353044,38.9
1063225,18.1
1116078,31.8
1075416,55.1
1088172,24.9
1320248,267.4
1271591,403.5
1127237,349.4
1243020,307.0
1416839,240.7
1172788,29.6
1473056,108.2
1060753,22.6
1053540,175.9
1261815,308.0
1489999,153.8
1133739,233.6
1384693,71.8
1072117,354.3
1023989,123.5
1183974,193.3
1171351,102.0
1004475,63.9
1080300,62.1
1164653,29.2
1444590,28.0
1169717,210.8
1399692,102.5
1393811,101.8
1177147,13.4
1455218,17.8
1478944,18.6
1415824,35.7
1041241,80.1
1045506,40.7
1210059,43.2
1139397,98.9
1008295,65.0
1406978,51.8
1470180,48.0
1326956,239.9
1268964,182.6
1267165,1211.7
1414458,653.6
1105486,405.1
1246396,45.4
1223814,76.5
1208097,63.4
1426257,486.3
1402266,689.5
1273610,1191.2
1082679,125.7
1061395,169.2
1448891,224.2
1121802,780.7
1017920,326.9
1220913,552.6
1201769,49.3
1214790,32.9
1055980,38.2
1143296,42.3
1161381,81.0
1049400,145.9
1388858,53.0
1367157,75.8
1056911,36.7
1363870,533.1
1206999,360.0
1220962,237.7
1244866,15.3
1161719,16.1
1492231,272.6
1492759,209.0
1408726,324.9
1337818,169.5
1136894,25.8
1050836,48.7
1157808,46.8
1438743,152.2
1092027,382.8
1286976,56.2
1244383,42.8
1220086,37.5
1014137,77.4
1460613,190.3
1269949,159.3
1022949,34.0
1118546,47.5
